X,Y,Z,Settlement_carga_mm
1.4998558325730798,7.5,-9.5,0.6911830891937782
3.400291472933393,7.5,-11.28516593942145,0.5846478878230918
1.584991658530147,7.5,-11.298426231060754,0.5853765208065518
3.4002914729333935,7.5,-7.714834060578553,0.770328943910549
1.584991658530147,7.5,-7.701573768939246,0.7874497384151624
3.8348623139796594,7.5,-12.79605972830962,0.48297294898035403
1.1947943042045561,7.5,-12.765313915859979,0.4802590774487854
1.194794304204555,7.5,-6.234686084140019,0.8468427224034585
3.8348623139796594,7.5,-6.2039402716903815,0.8228397026135923
2.4992338156738616,7.5,-10.29297458087878,0.6460039723304476
2.499193926860549,7.5,-8.702396886518182,0.7309612420132936
2.4476264334453126,6.100413727510206,-14.0,0.3759601891057329
2.5000000000000004,1.443375672974064,-14.0,0.36854368476810606
1.4034339267291014,4.84417887570054,-14.0,0.36397935310593255
3.268661474133062,4.616915478061368,-14.0,0.3692335819883539
1.5579884296376372,2.9304964524253116,-14.0,0.36109559390855495
3.5604921853957245,2.691662894365146,-14.0,0.3702201571088892
1.1783491311906265,6.255819290793517,-14.0,0.3743384533157368
1.1783491311906267,1.2441807092064834,-14.0,0.364853745142927
3.809924248182341,6.268465841114315,-14.0,0.3824602091121072
3.8216508688093738,1.244180709206482,-14.0,0.37445575826302857
2.5000000000000004,1.443375672974064,-5.0,1.3927780276536907
2.4476264334453126,6.100413727510206,-5.0,0.9228589868591826
1.4034339267291014,4.84417887570054,-5.0,1.067945338972791
3.268661474133062,4.616915478061368,-5.0,1.025277585056017
1.5579884296376372,2.9304964524253116,-5.0,1.321093656691943
3.5604921853957245,2.691662894365146,-5.0,1.2038298913056593
1.1783491311906265,6.255819290793517,-5.0,0.9368083018091369
1.1783491311906267,1.2441807092064834,-5.0,1.548436226115001
3.809924248182341,6.268465841114315,-5.0,0.8926623820565709
3.8216508688093738,1.244180709206482,-5.0,1.2999852554586298
0.0,1.7148284365859052,-17.0,0.15892540829010393
0.0,4.673974028588915,-15.555034291607488,0.2553868529497372
0.0,4.673974028588914,-18.444965708392512,0.07451960838277039
0.0,2.8125,-15.548077367904177,0.2526634869927715
0.0,2.8125,-18.451922632095823,0.07055424304462488
0.0,5.890147263602507,-17.0,0.17156164445731825
0.0,3.7111400817162408,-17.0,0.1578453496866956
0.0,6.15071169010352,-18.61394845947205,0.07091753091497566
